"id"	"type"	"review"
12474	"Pro"	"comfortable, cleans up nicely"
12475	"Pro"	"Easy to use"
12476	"Pro"	"large seats, lightweight, easy to push/steer"
12477	"Pro"	"nice look, durable,big canopies for both,easy fold up"
12478	"Pro"	"Easy to operate, folds flat, lightweight at 24 lbs."
12479	"Pro"	"great looking, space saver and very convenient as well as good comfort for the little ones"
12480	"Pro"	"Not very heavy"
12481	"Pro"	"easy to turn, open and close, and light weight"
12482	"Pro"	"High quality materials, durable, easy to push, roomy, baby is completely enclosed in rear seat"
12483	"Pro"	"lightweight, easy to maneuver, attractive to look at"
12484	"Pro"	"A versatile, reliable, and durable stroller with great style"
12485	"Pro"	"durability and comfort"
12486	"Pro"	"Durable, safe, good sun/rain/wind protection, cargo hooks"
12487	"Pro"	"Lots of space, holds more weight than the others, removable basket underneath, easy to use, excellent customer service and quality."
12488	"Pro"	"Baby's are pretty heavy. You don't have to carry them."
12489	"Pro"	"none"
12490	"Pro"	"Great stroller"
12491	"Pro"	"Ease of storage, Ease to maneuver"
12492	"Pro"	"none"
12493	"Pro"	"Great stroller!  Compact and durable!"
12494	"Pro"	"Can't think of one"
12495	"Pro"	"rear seat reclines all the way down, great construction, very sturdy"
12496	"Pro"	"Very lightweight, reversible handle, can take you from newborn years through toddler"
12497	"Pro"	"all wheels swivel, unfols completely horizontally, easiest to unfold with one hand (a must)"
12498	"Pro"	"Handle switches front to back."
12499	"Pro"	"3-position recline, can be forward or rear facing, easy to maneuver, big hood"
12500	"Pro"	"flexible - use as a stroller or carriage, solid and sturdy, warm with boot"
12501	"Pro"	"Has held up well, very roomy, great ride, and doesn't squeak!"
12502	"Pro"	"Solid construction. Able to switch handle to face child or child to face forward"
12503	"Pro"	"Carriage style for baby and Stroller style for toddler, comfortable"
12504	"Pro"	"Easy to steer,reversible handle, easy to fold down, lightweight."
12505	"Pro"	"Reversible handlebar, big air filled shock absorbing wheels, and converts to carriage."
12506	"Pro"	"Easy to fold/unfold.  Appropriate for newborn infants to toddlers.  Stylish.  Roomy. High Quality"
12507	"Pro"	"reversible handle, stylish, washable cover."
12508	"Pro"	"Transforms from newborn to toddler, all in one stroller."
12509	"Pro"	"Flat bed floor under 5 month old."
12510	"Pro"	"study, reversible handle, adjustable back, looks"
12511	"Pro"	"Comfortable, and luxurious"
12512	"Pro"	"It can't be beat"
12513	"Pro"	"the look of it, the weight"
12514	"Pro"	"Good from newborn to toddler; high quality materials"
12515	"Pro"	"Ajudstable Seat And top brakes on the wheels, Pocket for stuff, Folds"
12516	"Pro"	"reversible handle, 4 locking wheels, bootie for cold weather"
12517	"Pro"	"strong, light, easy handling"
12518	"Pro"	"Lightweight, easy to use, versatile, well-built, reversible handle"
12519	"Pro"	"Lightweight, sturdy, easy to handle"
12520	"Pro"	"light, looks nice, many adjustments may be made to suit particular needs"
12521	"Pro"	"lightweight, adjustable handle bar, durable fabric"
12522	"Pro"	"lightweight, durability, easily closes and opens, comfortable, attractive, many nice features"
12523	"Pro"	"Everything...it's quality, sturdy and lightweight"
12524	"Pro"	"converts to carraige"
12525	"Pro"	"Reversible handle, canopy, boot feature"
12526	"Pro"	"stable, smooth, many nice features"
12527	"Pro"	"none"
12528	"Pro"	"Lightweight, durable, plush fabric, smooth suspension; reversible handle bar; fully reclining seat"
12529	"Pro"	"Classy looking, nice fabric patterns, big canopy, reversible handle"
12530	"Pro"	"Easy to push, Not too heavy"
12531	"Pro"	"Sturdy, swivel handle, easy fold up....."
12532	"Pro"	"Folds easily, reversible, smooth ride, great colors!"
12533	"Pro"	"Fine fabric,good fold, good cover"
12534	"Pro"	"Goes anywhere and is so easy to use"
12535	"Pro"	"Great zoom, amazing battery, easy interface, lots of features."
12536	"Pro"	"Ease of use, stylish design, easy to use buttons, excellent zoom and macro"
12537	"Pro"	"Small, great zoom for a tiny digital. Clarity is amazing."
12538	"Pro"	"Excellent set of features! Battery life. Small size. Flexibility."
12539	"Pro"	"Intuitive design, millions of features, superb quality, VERY compact design."
12540	"Pro"	"Solid body, the option to go fully manual and great pictures!"
12541	"Pro"	"Great Photos either autofocus or manual/settings choices. Easy to navigate menu."
12542	"Pro"	"The battery lasted approximately 2 weeks! Small size."
12543	"Pro"	"Size, battery life, ease of use."
12544	"Pro"	"Ultra-compact, stunning picture quality, loaded with features"
12545	"Pro"	"Size &amp; weight are astounding. Has most ""big camera"" features at affordable prices."
12546	"Pro"	"quality in a tiny package, looks, ease of use,"
12547	"Pro"	"Size!, three megapixels, 3X optical zoom, some manual features, WOW factor, more!"
12548	"Pro"	"compact size, impressive battery life, excellent zoom lens"
12549	"Pro"	"Size, Style, features"
12550	"Pro"	"size, ""cool"" factor, lcd"
12551	"Pro"	"Size, 3x Optical Zoom, 3.2MP... did I say size?"
12552	"Pro"	"Ultra-compact, 3 megapixels, 3X optical zoom, incredible feature set,  11 MBs of internal memory ,"
12553	"Pro"	"Fantastic balance of portability, photo quality, battery life and capacity (with 256 MB SD card)"
12554	"Pro"	"Take Anywhere Size with full features"
12555	"Pro"	"size picture quality good if not using zoom"
12556	"Pro"	"Size makes it easy to have with you always."
12557	"Pro"	"Convenient size. Nice macro abilities. Good battery power."
12558	"Pro"	"Extremely small &amp; lightweight - , Intuitive user interface &amp; button layout - , Fair picture quality"
12559	"Pro"	"Great Price &amp; takes ordinary batteries"
12560	"Pro"	"Cheap"
12561	"Pro"	"Honestly none!"
12562	"Pro"	"Inexpensive and light weight."
12563	"Pro"	"Fast - Light - Cheap - Self Repeating"
12564	"Pro"	"Uses a standard 9-volt battery, simple one-button functionality, auto-timer, inexpensive"
12565	"Pro"	"Cheap and easy to use."
12566	"Pro"	"Lightweight, decent photos, fun to use, good software."
12567	"Pro"	"Cheap"
12568	"Pro"	"None"
12569	"Pro"	"inexpensive, compact, nice pictures for use on the web, easy to use"
12570	"Pro"	"CAN YOU BELIEVE THIS PRICE? EVERYONE CAN GO DIGITAL WITH THIS!"
12571	"Pro"	"It is easy, lightweight, and what a great price!"
12572	"Pro"	"Easy to use, Excellent price, delivers on promises."
12573	"Pro"	"Inexpensive. Easy to use. Good software included. Long Battery Life. Decent Images."
12574	"Pro"	"cheap, handy, good entry to digital pics"
12575	"Pro"	"Great low price, lightweight, and all the programming included"
12576	"Pro"	"Strong case, Flash, Easy to use, good software"
12577	"Pro"	"Inexpensive"
12578	"Pro"	"cheap digital camera.  expensive camera overall however."
12579	"Pro"	"Easy to use, good price for beginners."
12580	"Pro"	"Great features, flash, LCD display,"
12581	"Pro"	"review window, flash, ease of use"
12582	"Pro"	"*very* inexpensive digital camera. Nice for the price."
12583	"Pro"	"Many features, Easy to use!"
12584	"Pro"	"Cheap"
12585	"Pro"	"LCD Display, Flash, Software is easy to use"
12586	"Pro"	"Price, ease of use"
12587	"Pro"	"Cheap, great pictures for price, Very fast,"
12588	"Pro"	"It's a cheap way to have digital fun"
12589	"Pro"	"Decent picture quality for a inexpensive camera"
12590	"Pro"	"Easy to use,has expandable memory, good software"
12591	"Pro"	"Cheap - Lots of features for the price"
12592	"Pro"	"Hi resolution, easy to use, great price."
12593	"Pro"	"Great pictures, price"
12594	"Pro"	"image quality, macro performance"
12595	"Pro"	"Great Price, packed with features"
12596	"Pro"	"Price, ability to take photo's no matter where you are."
12597	"Pro"	"Price, AA Batteries, ease of use, decent picture quality"
12598	"Pro"	"Low cost, excellent macro lens, fairly intuitive design for easy use"
12599	"Pro"	"Easy to use"
12600	"Pro"	"Hi Resolution, low price, great macro"
12601	"Pro"	"Price, resolution, macro lense, ability to take photos in low-light"
12602	"Pro"	"Outstanding color reproduction."
12603	"Pro"	"2MB MEM, flash, LCD display"
12604	"Pro"	"Inexpensive, Easy to Use"
12605	"Pro"	"Great soft ware!"
12606	"Pro"	"Low Cost, Complete &amp;amp; Easy to Use"
12607	"Pro"	"Low price, ease of use, high &amp;quot;bang for the buck&amp;quot;"
12608	"Pro"	"It has everything!"
12609	"Pro"	"Easy to use, makes good photographs."
12610	"Pro"	"Quality of picture"
12611	"Pro"	"Great for the price. Easy to use."
12612	"Pro"	"Price, ease of use(camera), number of stored images,no developing cost or wait time, great for beginners, and everything you need to get started is included."
12613	"Pro"	"Easy to use"
12614	"Pro"	"Simple, lifelike"
12615	"Pro"	"price, features, inclusions, size and weight, ability to use a tripod"
12616	"Pro"	"Easy for beginners to use"
12617	"Pro"	"Easy to use"
12618	"Pro"	"easy to use, great pictures, complete with cables and software"
12619	"Pro"	"easy to use"
12620	"Pro"	"It has a great program for printing your pictures.It is easy to use.It takes just minutes to upload your pictures and begin printing them out."
12621	"Pro"	"nice ergonomics, convenient"
12622	"Pro"	"EASY TO USE, AND GOOD QUALITY PICTURES"
12623	"Pro"	"easy to handle, use, good for emailing pictures."
12624	"Pro"	"Easy to use, computer compatibility"
12625	"Pro"	"Ease in downloading pics."
12626	"Pro"	"Cheap.  Unlike disposables, you get what is in the frame."
12627	"Pro"	"affordable, good quality, and easy to use!  Fun for the whole family!"
12628	"Pro"	"Polaroid PDC640 is a great first digital camera."
12629	"Pro"	"light, easy to use, inexpensive,"
12630	"Pro"	"cheap camera"
12631	"Pro"	"At, Wal-Mart for 99.99, the best price I could find for the features offered."
12632	"Pro"	"Good pictures for the low cost, very easy to transfer pictures to PC"
12633	"Pro"	"By far easiest to use; camera &amp; software of any Digitals on the market"
12634	"Pro"	"Inexpensive (under $100), LCD display, 8 mb storage, multiple picture quality, and more"
12635	"Pro"	"everything you need to get started is in the box"
12636	"Pro"	"Easy to use, cheap, decent display"
12637	"Pro"	"None"
12638	"Pro"	"Fun, nice software, takes decent pics for the price"
12639	"Pro"	"Affordable &amp; Easy to use.  I still recommend two years later."
12640	"Pro"	"Inexpensive, userfriendly software, comes with good software for categorizing pics."
12641	"Pro"	"Ease of use, inexpensive, all accessories included, a good first digital camera."
12642	"Pro"	"easy to use, low cost"
12643	"Pro"	"Easy to Use;, Comes with cords and software"
12644	"Pro"	"Easy to use, good picture quality"
12645	"Pro"	"Learned what to avoid in my next digital camera purchase."
12646	"Pro"	"Point &amp; Shoot.  Good Beginner camera"
12647	"Pro"	"Very user friendly, almost no learning time required."
12648	"Pro"	"clear crisp pictures, easy to transfer, rugged, view finder."
12649	"Pro"	"Easy to use - good first camera"
12650	"Pro"	"ease of use"
12651	"Pro"	"Price, good software package, easy-to-use features, good quality photos"
12652	"Pro"	"Ease of use, size, price"
12653	"Pro"	"exceptionally easy to use, accessories are easy to find"
12654	"Pro"	"price and quality"
12655	"Pro"	"Easy to use"
12656	"Pro"	"nice pictures for an affordable price"
12657	"Pro"	"Great Price on the PDC-640 Right Now."
12658	"Pro"	"Easy to use"
12659	"Pro"	"Inexpensive, easy, great photos"
12660	"Pro"	"Clean and clear pics w/ good options"
12661	"Pro"	"Great pictures, low price, LCD screen"
12662	"Pro"	"GREAT price, GREAT pictures"
12663	"Pro"	"everything in one kit; easy to use; decent photo quality for inexpensive camera"
12664	"Pro"	"0"
12665	"Pro"	"Fantastic quality pictures"
12666	"Pro"	"Good Price"
12667	"Pro"	"value/results"
12668	"Pro"	"LOVE THE CLARITY AND THE COLOR &amp;amp; SO EASY TO USE!"
12669	"Pro"	"easy to use and great quality pictures"
12670	"Pro"	"Inexpensive, fairly easy to take a picture"
12671	"Pro"	"Digital, affordable, small, reliable"
12672	"Pro"	"Easy to use, solid construction, good quality pix, fun to use"
12673	"Pro"	"easy to use, removable/ replaceable memory card, LCD screen..."
12674	"Pro"	"Easy to use and learn, nice features for a great price."
12675	"Pro"	"cheaper price than some"
12676	"Pro"	"EASE OF USE"
12677	"Pro"	"Provides professional quality photographs"
12678	"Pro"	"Good first buy camera, for unexpected photos"
12679	"Pro"	"Easy to use, affordable"
12680	"Pro"	"Good First time Digital Camera"
12681	"Pro"	"affordable, easy to use, takes nice pictures"
12682	"Pro"	"it just as good any others out there"
12683	"Pro"	"good price, simple to use"
12684	"Pro"	"easy to use, review/preview options, easy to download"
12685	"Pro"	"easy to use, good value, reasonable quality"
12686	"Pro"	"Great name brand camera for a good price"
12687	"Pro"	"Price, ease of use, AC adapter"
12688	"Pro"	"price, versatility"
12689	"Pro"	"Price, ease of use"
12690	"Pro"	"Easy to use"
12691	"Pro"	"Usability"
12692	"Pro"	"Easy to learn"
12693	"Pro"	"convenient, user- friendly, great price"
12694	"Pro"	"Price &amp;amp; easy to use"
12695	"Pro"	"Costs"
12696	"Pro"	"The only negative side to this camera that I see, is that it has no zoom capability."
12697	"Pro"	"Price, Quality, Ease of use, Features."
12698	"Pro"	"easy to use"
12699	"Pro"	"Easy to operate, beautiful photos and editing bonus."
12700	"Pro"	"Works great with many programs, gives you instant results (no waiting for development), and very easy to use."
12701	"Pro"	"Price - ease of use - compatibility"
12702	"Pro"	"Very Easy to Use."
12703	"Pro"	"Able to delete and retake pictures instantly"
12704	"Pro"	"easy to use"
12705	"Pro"	"Very easy to use"
12706	"Pro"	"good price,great camera"
12707	"Pro"	"Easy to use."
12708	"Pro"	"Excellent Quality Pictures"
12709	"Pro"	"simple, takes clear pictures while moving"
12710	"Pro"	"Very user friendly, nice size, nice software, easy setup."
12711	"Pro"	"Ease of use, nice pictures"
12712	"Pro"	"Inexpensive and takes low quality pictures good enough for the web and e-mail."
12713	"Pro"	"light weight, easy to use"
12714	"Pro"	"quality pictures for the price"
12715	"Pro"	"It takes pictures, easy to use"
12716	"Pro"	"Polaroid reputation, price"
12717	"Pro"	"easy to use, takes decent pictures"
12718	"Pro"	"best price, simple"
12719	"Pro"	"picture quality, ease of use"
12720	"Pro"	"EASY TO USE"
12721	"Pro"	"easy to use, quality pictures, affordable"
12722	"Pro"	"Take's Excellent Picture's"
12723	"Pro"	"Easy to use."
12724	"Pro"	"Easy To Use"
12725	"Pro"	"Light, easy to use and excellent technical help."
12726	"Pro"	"affordable, easy to use, great pictures, 3 flash settings,quality company"
12727	"Pro"	"good action pics."
12728	"Pro"	"price, ease, disk adapter, easy to use"
12729	"Pro"	"easy to use, great quality, lightweight, affordable"
12730	"Pro"	"Great Pictures,  User Friendly"
12731	"Pro"	"Price, ease of use"
12732	"Pro"	"easy to use, price"
12733	"Pro"	"Easy to use. Software is simple, uncomplicated"
12734	"Pro"	"good money value"
12735	"Pro"	"Great price"
12736	"Pro"	"Affordable, Easy-to-use, Great Quality"
12737	"Pro"	"Easy to use, dependable, inexpensive"
12738	"Pro"	"Easy to operate, floppy adapter saves on batteries"
12739	"Pro"	"Everything!"
12740	"Pro"	"Great for emailing instant photos to friends"
12741	"Pro"	"Easy to  use and to install on your PC"
12742	"Pro"	"Easy, fun, inexpensive!"
12743	"Pro"	"Easy to Use, Affordable, Great looking pictures"
12744	"Pro"	"Affordable"
12745	"Pro"	"Wide view screen easy transfer"
12746	"Pro"	"great picture  quality"
12747	"Pro"	"Cheap and easy to use"
12748	"Pro"	"Good Solid Camera for everyone."
12749	"Pro"	"Cost and quality"
12750	"Pro"	"Uses SmartMedia memory, price ($180), customer service"
12751	"Pro"	"price"
12752	"Pro"	"easy to use, great quality photos, reasonably priced"
12753	"Pro"	"Great software, great picture quality"
12754	"Pro"	"user Friendly, very reasonable price"
12755	"Pro"	"Easy to use"
12756	"Pro"	"good photos, easy to use, extra accessories, good price"
12757	"Pro"	"A Great Camera"
12758	"Pro"	"small"
12759	"Pro"	"good quality pictures, low price"
12760	"Pro"	"Picture Quality, Ease of Use,  Low Cost"
12761	"Pro"	"easy to operate"
12762	"Pro"	"Good picture quality"
12763	"Pro"	"very easy to use"
12764	"Pro"	"great price,good quality"
12765	"Pro"	"price, easy to use, features, size"
12766	"Pro"	"Very Very Good Camera"
12767	"Pro"	"looks, quality, software"
12768	"Pro"	"Affordable, clear pictures."
12769	"Pro"	"easy to use both camera and software, good quality images, economical"
12770	"Pro"	"Cheap, easy picture transfer"
12771	"Pro"	"Affordable, fun, and easy"
12772	"Pro"	"Fair price, good software, good photo quality."
12773	"Pro"	"Good quality pictures and you can take a lot of them"
12774	"Pro"	"Quality, Value, Features"
12775	"Pro"	"Very easy to use, no special/expensive equipment/software required"
12776	"Pro"	"Ease of use"
12777	"Pro"	"Reasonable cost; easy to use; everything included in kit; Polaroid name; whole family can use; autoflash &amp;amp; self timer are nice features; can delete pictures immediately if you do not want to keep them; no film cost anymore; no waiting to see pictures"
12778	"Pro"	"Easy to use and set up; economical; idiot-proof"
12779	"Pro"	"takes great pictures"
12780	"Pro"	"Cheap, decent quality pictures for casual use. Easy to use. 1.8"" LCD display"
12781	"Pro"	"low cost, high features, fun"
12782	"Pro"	"Cost"
12783	"Pro"	"Fair price, picture viewer"
12784	"Pro"	"Easy to use, good quality pictures"
12785	"Pro"	"great value, good design, clear pictures, nice preview screen"
12786	"Pro"	"Ease of use"
12787	"Pro"	"This camera cost less than the 640 and hold way more pictures"
12788	"Pro"	"clear photos"
12789	"Pro"	"Love affair lasted only a year."
12790	"Pro"	"Very effective and compact"
12791	"Pro"	"easy to use,LCD,Good quality,Price,stylish"
12792	"Pro"	"LCD has bugs,no satisfaction"
12793	"Pro"	"Ease of use, cheap fun"
12794	"Pro"	"excellent pictures for a 640"
12795	"Pro"	"Point and Shoot"
12796	"Pro"	"Very reliable!!!"
12797	"Pro"	"good quality, inexpensive , lcd screen"
12798	"Pro"	"easy to use,cheap, everything needed was included in the kit"
12799	"Pro"	"Easy to use for beginners, inexpensive"
12800	"Pro"	"Easy to use, Good Quality Pictures, Good Storage Capacity"
12801	"Pro"	"Good Bargain, Pretty Good Pictures"
12802	"Pro"	"Easy to use,  takes great pics, lightweight"
12803	"Pro"	"very easy to use"
12804	"Pro"	"inexpensive, easy to use"
12805	"Pro"	"Great image quality, stylish design, price."
12806	"Pro"	"Good Camera"
12807	"Pro"	"Cheap"
12808	"Pro"	"Easy to use,  convenient"
12809	"Pro"	"Very easy to use, good quality pictures, LCD screen"
12810	"Pro"	"Very Durable, Best for Simple Home use. Comes with everything you need"
12811	"Pro"	"Very well priced.  Great for average user."
12812	"Pro"	"Easy to use, relatively inexpensive, nice first digital camera"
12813	"Pro"	"holds lots of pictures"
12814	"Pro"	"1.8"" LCD; inexpensive; video output to TV"
12815	"Pro"	"Easy to use and understand functions"
12816	"Pro"	"Low prices, nice features, all accessories included"
12817	"Pro"	"Inexpensive, easy to use, lightweight, good quality photos for email and web."
12818	"Pro"	"Easy to use, Idiot Proof, and a great deal!"
12819	"Pro"	"very easy to use and everything came in one kit"
12820	"Pro"	"Good pictures. Nice feel and design.&amp;#13;&amp;#10;"
12821	"Pro"	"Inexpensive, easy to use, decent image quality"
12822	"Pro"	"Price"
12823	"Pro"	"Price, ease of use, design"
12824	"Pro"	"Adjustable settings allow better quality or more pictures, whichever you prefer!"
12825	"Pro"	"Great Camera, LCD is clear!"
12826	"Pro"	"Built in memory, nice case, decent size view LCD screen."
12827	"Pro"	"Small, lightweight, easy to use. a good beginner camera."
12828	"Pro"	"Light weight, portable, nice pictures and A+ customer service."
12829	"Pro"	"LCD Screen, USB &amp; TV Out, Easy Install, Auto Flash"
12830	"Pro"	"Good features for a low price"
12831	"Pro"	"Great little camera for the price. Extremely easy to use."
12832	"Pro"	"Good Image Quality, Expandable Memory, Easy to use"
12833	"Pro"	"Great photo quality, Easy to install, Easy to use, VERY Durable!"
12834	"Pro"	"Easy to use"
12835	"Pro"	"Will fit in your purse"
12836	"Pro"	"inexpensive, takes great pictures"
12837	"Pro"	"Perfect size, easy to use, affordable, good software"
12838	"Pro"	"Very mobile, great quality for price!!!"
12839	"Pro"	"My first love....uh, in digital cameras, that is!"
12840	"Pro"	"Small size, good resolution, USB connector."
12841	"Pro"	"Very easy to use"
12842	"Pro"	"Good inexpensive camera."
12843	"Pro"	"Reliability,picture quality,easy to read manual and well organized tech support"
12844	"Pro"	"Low price, camera features"
12845	"Pro"	"Comes with all the accessories to make it work out of the box."
12846	"Pro"	"easy to use"
12847	"Pro"	"Great Price, Good Pictures"
12848	"Pro"	"small, good picture quality, added memory capabilities"
12849	"Pro"	"Inexpensive/Fairly easy to operate/Informative help on-line"
12850	"Pro"	"cost,, size, ease of use"
12851	"Pro"	"easy to use, price, features"
12852	"Pro"	"Price - what a bargain, Extremely easy to use"
12853	"Pro"	"Inexpensive/Easy to use"
12854	"Pro"	"Low price"
12855	"Pro"	"Easy to Use, Software &amp;amp; Hardware"
12856	"Pro"	"A lot of memory"
12857	"Pro"	"great item,great price."
12858	"Pro"	"Too many to list!"
12859	"Pro"	"Very easy to use"
12860	"Pro"	"Cheap Price for what you get"
12861	"Pro"	"great quality, easy to use"
12862	"Pro"	"PRICE, sleek expensive looking design, included software, cables, memory card, and camera case, image quality."
12863	"Pro"	"Takes great pictures. Pretty inexpensive"
12864	"Pro"	"inexpensive, user friendly, resolution vs. price"
12865	"Pro"	"Great deal; under priced; small/durable; good size LCD"
12866	"Pro"	"Pretty much everything especially LCD, Storage, Picture Quality, and Price"
12867	"Pro"	"lightweight; compact"
12868	"Pro"	"very easy to work"
12869	"Pro"	"Low Price"
12870	"Pro"	"Great pictures!"
12871	"Pro"	"Quality digital pictures, easy use, many features, great value"
12872	"Pro"	"Great picture quality, easy to use, color lcd screen"
12873	"Pro"	"Great Camera, and Great quality"
12874	"Pro"	"size, looks"
12875	"Pro"	"easy to use , lightweight"
12876	"Pro"	"The Camera is cheap"
12877	"Pro"	"inexpensive, easy to use"
12878	"Pro"	"Cheap price, software is easy to use"
12879	"Pro"	"nice photos, software works well"
12880	"Pro"	"Color LCD screen, light, comes with 2 software"
12881	"Pro"	"Ease of use, image quality, compact convenient design"
12882	"Pro"	"Price, Picture Quality, Simplicity"
12883	"Pro"	"Nice quality, advanced functions, real-time TV output, easy to work with."
12884	"Pro"	"I don't have to send my film off to have them developed"
12885	"Pro"	"Good price, Good Quality"
12886	"Pro"	"Easily upgradable, excellent customer support"
12887	"Pro"	"Low cost, ease of software use, compact"
12888	"Pro"	"Too Many to list see review"
12889	"Pro"	"I love it"
12890	"Pro"	"easy, point and shoot, good quality pictures"
12891	"Pro"	"Great pictures, great price"
12892	"Pro"	"Relatively simple to use, accepts standard memory upgrades"
12893	"Pro"	"good picture quality, small"
12894	"Pro"	"More Pixels to Pesos"
12895	"Pro"	"Price, Ease of use, full-featured software package, USB support"
12896	"Pro"	"good photos, ease of usage"
12897	"Pro"	"Simple to use, Compact size, Works with Windows 98,99"
12898	"Pro"	"Easy to use, fits easily anywhere, great software, USB"
12899	"Pro"	"Takes Excellent pictures."
12900	"Pro"	"good if you just want to put pictures on the internet."
12901	"Pro"	"Great quality, expandable memory, lots of accessories."
12902	"Pro"	"Expandable memory card slot, print-quality resolution"
12903	"Pro"	"Small and pretty easy to use.  Extras not found on cheap cameras."
12904	"Pro"	"Works Well In Average Light Rooms."
12905	"Pro"	"Easy, Fun, Great Pics"
12906	"Pro"	"Tiny, USB, relatively cheap"
12907	"Pro"	"Price, fast uploading, size, TV viewing, flash"
12908	"Pro"	"easy to use, no hassle with loading film,can view pictures on your tv"
12909	"Pro"	"No more photomats, lightweight, hooks directly to TV for instant images"
12910	"Pro"	"Light, easy to use"
12911	"Pro"	"Inexpensive, easily hooks up to the television for viewing"
12912	"Pro"	"battery life, cost, included cables and AC Adapter, RCA video-out signal"
12913	"Pro"	"Great camera for the price and size!"
12914	"Pro"	"Great affordable camera"
12915	"Pro"	"Inexpensive, small, good for ebay"
12916	"Pro"	"Cheap, Easy"
12917	"Pro"	"Low cost, good battery life, easy to use"
12918	"Pro"	"It won't cost much to get you started.  Maybe 50 to 60 bucks."
12919	"Pro"	"Cheap price, handling, Pc and MAC compatible, flash."
12920	"Pro"	"very cheap, light, small"
12921	"Pro"	"Very cheap, decent quality, flash"
12922	"Pro"	"Standard AA batteries, USB and build-in flash"
12923	"Pro"	"The price I guess, after having checked at a couple of stores."
12924	"Pro"	"price USB connection holds 32 exp tv cable included"
12925	"Pro"	"It's cheap"
12926	"Pro"	"Good size, cheap price, nice interface"
12927	"Pro"	"Inexpensive, Quicker if not better than scanning pictures"
12928	"Pro"	"Its definitely cheap and compact enough to keep some money in your wallet but..."
12929	"Pro"	"Great price, USB Ready, Great for Fun, Just point and shoot!"
12930	"Pro"	"Price &amp; Size."
12931	"Pro"	"cheap, you don't really need a photoshop to make these pics look funny"
12932	"Pro"	"Durability Poor Design"
12933	"Pro"	"easy to use,brand name we all know,best for price"
12934	"Pro"	"easy to use, awesome pictures, reasonably priced"
12935	"Pro"	"Easy to use, nice software package.Takes great pics."
12936	"Pro"	"Very good image quality for the money (we received a $100 rebate)"
12937	"Pro"	"Over all a great camera"
12938	"Pro"	"It takes about 20 quality pictures"
12939	"Pro"	"This is a great camera"
12940	"Pro"	"Excellent resolution and prints"
12941	"Pro"	"Easy to Use - Many Functions"
12942	"Pro"	"PRICED RIGHT"
12943	"Pro"	"Great pictures, easy to use, many features, attractive styling"
12944	"Pro"	"Extremely easy to use, nice packaging and feel, lots of everyday use features."
12945	"Pro"	"3X optical Zoom, 4X digital ZOom"
12946	"Pro"	"Ease of use, Sturdy Design"
12947	"Pro"	"Good quality pictures, includes features like video out (nice for slide-shows) and ac power."
12948	"Pro"	"Easy to use."
12949	"Pro"	"Good features for the price"
12950	"Pro"	"easy to scroll through pictures"
12951	"Pro"	"Absolutely NONE"
12952	"Pro"	"low price"
12953	"Pro"	"Good Battery Life"
12954	"Pro"	"A/C adapter included, optical zoom, battery life, serial and USB included"
12955	"Pro"	"Light for the quality"
12956	"Pro"	"Good pictures."
12957	"Pro"	"Easy to use."
12958	"Pro"	"It takes good detailed pictures if it does not break first."
12959	"Pro"	"How could I possibly say anything good about this camera.  It never worked long enough."
12960	"Pro"	"Easy to install software."
12961	"Pro"	"Inexpensive way to take digital photos"
12962	"Pro"	"Inexpensive, relatively easy to use."
12963	"Pro"	"Price, 640X480 mode good"
12964	"Pro"	"Cheap and easy to use. Decent quality for the price."
12965	"Pro"	"Cheap, Light weight"
12966	"Pro"	"Inexpensive.  Good value for the money, IF you don't expect the best."
12967	"Pro"	"Cheapest on the market. Does work for small needs."
12968	"Pro"	"Inexpensive"
12969	"Pro"	"Has an AC Adapter"
12970	"Pro"	"Cheap, Light"
12971	"Pro"	"Great Price, Reasonable Cost, Easy to Use"
12972	"Pro"	"decent pictures, good to send on web"
12973	"Pro"	"Easy To Use"
12974	"Pro"	"Cheap, simple to operate, decent flash"
12975	"Pro"	"Inexpensive"
12976	"Pro"	"Good picture quality, inexpensive"
12977	"Pro"	"Great Camera, excellent pictures"
12978	"Pro"	"inexpensive, fun, easy"
12979	"Pro"	"price"
12980	"Pro"	"Inexpensive for the novice"
12981	"Pro"	"Easy, light-weight, great pictures for little money."
12982	"Pro"	"ease of use, picture quality"
12983	"Pro"	"Price, lightweight"
12984	"Pro"	"far cheaper than lots of film and developing"
12985	"Pro"	"cheap, easy to use"
12986	"Pro"	"Inexpensive, easy to use"
12987	"Pro"	"Cheap Price, Lightness"
12988	"Pro"	"price and quality of pictures"
12989	"Pro"	"Ease of use."
12990	"Pro"	"good enough for the basics... cheap."
12991	"Pro"	"cheap and easy"
12992	"Pro"	"good camera for the price, can get 4 meg memory sticks for it"
12993	"Pro"	"Power full Camera!"
12994	"Pro"	"good gift for someone you hate"
12995	"Pro"	"Price and Weight"
12996	"Pro"	"Small initial cost      Instant photos"
12997	"Pro"	"Excellent pictures and easy to use."
12998	"Pro"	"Inexpensive, easy-to-use, functional"
12999	"Pro"	"relatively cheap, automatically shuts off it you forget to turn it off.  Good picture size"
13000	"Pro"	"Cheap, Easy to use, acceptable quality"
13001	"Pro"	"As of June 2001, these digital cameras are under $40"
13002	"Pro"	"Ease of use, LCD viewfinder"
13003	"Pro"	"easy to use-great pics"
13004	"Pro"	"easy to use"
13005	"Pro"	"small easy to carry around"
13006	"Pro"	"Good camera...."
